ID_JUGADOR,NOMBRE,PARTIDOS_JUGADOS,MINUTOS_JUGADOS_PROMEDIO,PUNTOS_ANOTADOS_PROMEDIO,GOLES_PROMEDIO,TRIPLES_PROMEDIO,TIROS_LIBRES_ANOTADOS_PROMEDIO,REBOTES_OFENSIVOS_PROMEDIO,ASISTENCIAS_PROMEDIO,PELOTAS_RECUPERADAS_PROMEDIO,BLOQUEOS_PROMEDIO,PERDIDAS_PROMEDIO
ID_JUG_0016,John Crotty,40.0,6.1,2.6,0.9,0.1,0.7,0.1,1.4,0.3,0.0,0.8
ID_JUG_0017,Stephen Howard,49.0,5.3,2.1,0.7,0.0,0.7,0.5,0.2,0.3,0.2,0.5
ID_JUG_0018,Randy Woods,41.0,4.2,1.7,0.6,0.1,0.5,0.1,1.0,0.3,0.0,0.4
ID_JUG_0019,Larry Johnson,82.0,37.2,19.2,7.5,0.1,4.1,3.9,3.6,1.0,0.6,1.9
ID_JUG_0020,Billy Owens,80.0,31.4,14.3,5.9,0.0,2.6,3.0,2.4,1.1,0.8,2.2
ID_JUG_0021,Stacey Augmon,82.0,30.5,13.3,5.4,0.0,2.6,2.3,2.5,1.5,0.3,2.2
ID_JUG_0022,Mark Macon,76.0,30.3,10.6,4.4,0.1,1.8,1.1,2.2,2.0,0.2,2.0
ID_JUG_0023,Steven Smith,61.0,29.6,12.0,4.9,0.7,1.6,1.3,4.6,1.0,0.3,2.5
ID_JUG_0024,Mitch McGary,32.0,15.2,6.3,2.8,0.0,0.8,1.7,0.4,0.5,0.5,1.0
ID_JUG_0025,Larry Stewart,76.0,29.3,10.4,4.0,0.0,2.5,2.4,1.6,0.7,0.6,1.5
ID_JUG_0026,Mike Iuzzolino,52.0,24.6,9.3,3.1,1.1,2.1,0.5,3.7,0.6,0.0,1.8
ID_JUG_0027,Paul Graham,78.0,22.0,10.1,3.9,0.7,1.6,0.9,2.2,1.2,0.3,1.2
ID_JUG_0028,Donald Hodge,51.0,20.7,8.4,3.2,0.0,2.0,2.3,0.8,0.5,0.5,1.5
ID_JUG_0029,Dale Davis,64.0,20.3,6.2,2.4,0.0,1.4,2.5,0.5,0.4,1.2,0.8
ID_JUG_0030,Stanley Roberts,55.0,20.3,10.4,4.3,0.0,1.8,2.1,0.7,0.4,1.5,1.4
ID_JUG_0031,Terrell Brandon,82.0,19.6,7.4,3.1,0.0,1.2,0.6,3.9,1.0,0.3,1.7
ID_JUG_0032,Bison Dele,48.0,18.9,9.1,3.6,0.0,2.0,2.4,0.7,0.8,1.1,1.8
ID_JUG_0033,Spencer Dinwiddie,34.0,13.4,4.3,1.5,0.4,0.9,0.1,3.1,0.6,0.2,1.0
ID_JUG_0034,Tracy Moore,42.0,18.6,8.5,3.1,0.7,1.5,0.7,1.1,0.8,0.1,1.1
ID_JUG_0035,Greg Anthony,82.0,18.4,5.5,2.0,0.1,1.4,0.4,3.8,0.7,0.1,1.2
ID_JUG_0036,Kenny Anderson,64.0,17.0,7.0,2.9,0.0,1.1,0.6,3.2,1.1,0.1,1.5
ID_JUG_0037,Victor Alexander,80.0,16.9,7.4,3.0,0.0,1.3,1.3,0.4,0.6,0.8,1.1
ID_JUG_0038,David Benoit,77.0,15.1,5.6,2.3,0.0,1.1,1.4,0.4,0.3,0.6,0.9
ID_JUG_0039,Kevin Lynch,55.0,14.9,4.1,1.7,0.1,0.6,0.5,1.5,0.7,0.2,0.8
ID_JUG_0040,LaBradford Smith,48.0,14.8,5.1,2.1,0.0,0.9,0.6,2.1,0.9,0.0,1.3
ID_JUG_0041,Chris Corchiani,51.0,14.5,5.0,1.5,0.2,1.8,0.4,2.8,0.9,0.0,1.4
ID_JUG_0042,Travis Wear,51.0,13.2,3.9,1.6,0.2,0.4,0.6,0.8,0.3,0.2,0.7
ID_JUG_0043,Robert Pack,72.0,12.4,4.6,1.6,0.0,1.4,0.4,1.9,0.6,0.1,1.3
ID_JUG_0044,Pete Chilcutt,69.0,11.8,3.6,1.6,0.0,0.3,1.1,0.6,0.5,0.3,0.6
ID_JUG_0045,Chris Gatling,54.0,11.3,5.7,2.2,0.0,1.3,1.4,0.3,0.6,0.7,0.8
ID_JUG_0046,Tharon Mayes,24.0,10.6,4.1,1.3,0.6,1.0,0.1,1.5,0.7,0.1,1.3
ID_JUG_0047,Eric Murdock,50.0,9.6,4.1,1.5,0.1,0.9,0.4,1.8,0.6,0.1,1.0
ID_JUG_0048,Randy Brown,56.0,9.6,3.4,1.4,0.0,0.7,0.5,1.1,0.6,0.2,0.8
ID_JUG_0049,Greg Sutton,67.0,9.0,3.7,1.4,0.4,0.5,0.1,1.4,0.4,0.1,1.0
ID_JUG_0050,Elliot Perry,50.0,8.7,2.5,1.0,0.0,0.5,0.3,1.6,0.7,0.1,1.0
ID_JUG_0051,Marty Conlon,45.0,8.5,2.7,1.1,0.0,0.5,0.7,0.3,0.2,0.2,0.6
ID_JUG_0052,Rodney Monroe,38.0,8.2,3.4,1.4,0.2,0.5,0.3,0.7,0.3,0.1,0.6
ID_JUG_0053,John Turner,42.0,8.2,2.8,1.0,0.0,0.7,0.9,0.3,0.1,0.1,0.8
ID_JUG_0054,Mark Randall,54.0,8.2,3.2,1.3,0.1,0.6,0.7,0.6,0.2,0.1,0.5
ID_JUG_0055,Sean Green,35.0,7.3,4.0,1.8,0.1,0.4,0.6,0.6,0.4,0.2,0.8
ID_JUG_0056,Kevin Brooks,37.0,7.3,2.8,1.2,0.1,0.5,0.4,0.3,0.2,0.1,0.5
ID_JUG_0057,Doug Lee,46.0,6.7,2.6,1.1,0.2,0.2,0.4,0.5,0.2,0.0,0.3
ID_JUG_0058,Corey Crowder,51.0,6.4,2.2,0.8,0.3,0.3,0.3,0.3,0.1,0.0,0.3
ID_JUG_0059,Rich King,40.0,5.3,2.2,0.7,0.0,0.9,0.5,0.3,0.1,0.1,0.5
ID_JUG_0060,Stephen Thompson,19.0,4.8,1.6,0.7,0.0,0.2,0.6,0.4,0.3,0.2,0.3
ID_JUG_0061,Charles Thomas,36.0,4.3,1.3,0.5,0.1,0.3,0.2,0.6,0.1,0.0,0.5
ID_JUG_0062,Lionel Simmons,79.0,37.7,18.0,6.9,0.0,4.1,2.4,4.0,1.4,1.1,2.9
ID_JUG_0063,Gary Harris,55.0,13.1,3.4,1.2,0.4,0.6,0.4,0.5,0.7,0.1,0.7
ID_JUG_0064,Derrick Coleman,74.0,35.2,18.4,6.9,0.2,4.4,3.6,2.2,1.0,1.3,2.9
ID_JUG_0065,Travis Mays,64.0,33.5,14.3,4.6,1.1,4.0,0.8,4.0,1.3,0.2,2.5
ID_JUG_0066,Dennis Scott,82.0,28.5,15.7,6.1,1.5,1.9,0.8,1.6,0.8,0.3,1.6
ID_JUG_0067,Gary Payton*,82.0,27.4,7.2,3.2,0.0,0.8,1.3,6.4,2.0,0.2,2.2
ID_JUG_0068,Felton Spencer,81.0,25.9,7.1,2.4,0.0,2.2,3.4,0.3,0.6,1.5,0.9
ID_JUG_0069,Willie Burton,76.0,25.4,12.0,4.5,0.1,3.0,1.5,1.4,0.9,0.3,1.9
ID_JUG_0070,Dee Brown,82.0,23.7,8.7,3.5,0.1,1.7,0.5,4.2,1.0,0.2,1.7
ID_JUG_0071,Dee Brown,49.0,9.2,1.9,0.7,0.1,0.5,0.2,1.7,0.5,0.1,0.6
ID_JUG_0072,Kendall Gill,82.0,23.7,11.0,4.6,0.0,1.9,1.3,3.7,1.3,0.5,2.0
ID_JUG_0073,Duane Causwell,76.0,22.6,6.9,2.8,0.0,1.4,1.9,0.9,0.6,1.9,1.3
ID_JUG_0074,Mahmoud Abdul-Rauf,67.0,22.5,14.1,6.2,0.4,1.3,0.5,3.1,0.8,0.1,1.6
ID_JUG_0075,A.J. English,70.0,20.6,8.8,3.6,0.0,1.6,0.9,2.5,0.4,0.2,1.6
ID_JUG_0076,Danny Ferry,81.0,20.5,8.6,3.4,0.3,1.5,1.2,1.8,0.5,0.3,1.5
ID_JUG_0077,Mario Elie,33.0,19.5,7.2,2.4,0.1,2.3,1.4,1.4,0.6,0.3,0.9
ID_JUG_0078,Anthony Cook,58.0,19.3,5.3,2.0,0.0,1.2,2.3,0.4,0.6,1.2,0.9
ID_JUG_0079,Gerald Paddio,70.0,16.9,7.2,3.0,0.1,1.1,0.5,1.3,0.3,0.1,1.0
ID_JUG_0080,Bimbo Coles,82.0,16.5,4.9,2.0,0.1,0.9,0.7,2.8,0.8,0.1,1.2
ID_JUG_0081,Bo Kimble,62.0,16.2,6.9,2.6,0.3,1.5,0.7,1.2,0.5,0.1,1.2
ID_JUG_0082,Alec Kessler,78.0,16.1,6.2,2.6,0.0,1.1,1.5,0.4,0.2,0.3,1.4
ID_JUG_0083,Loy Vaught,73.0,16.1,5.5,2.4,0.0,0.7,1.7,0.5,0.3,0.3,0.7
ID_JUG_0084,Tyrone Hill,74.0,16.1,5.3,2.0,0.0,1.3,2.1,0.3,0.5,0.4,1.0
ID_JUG_0085,Marcus Liberty,76.0,15.4,6.7,2.8,0.2,0.8,1.5,0.8,0.6,0.3,0.9
ID_JUG_0086,Terry Mills,55.0,14.9,5.7,2.4,0.0,0.9,1.5,0.6,0.6,0.5,0.8
ID_JUG_0087,Jamal Robinson,47.0,14.3,5.6,2.3,0.0,1.0,0.4,2.8,0.7,0.2,1.6
ID_JUG_0088,Henry James,37.0,13.6,8.1,3.0,0.6,1.4,0.7,0.9,0.4,0.1,1.0
ID_JUG_0089,Jerrod Mustaf,62.0,13.3,4.3,1.7,0.0,0.9,0.8,0.6,0.2,0.2,1.0
ID_JUG_0090,Kevin Pritchard,62.0,12.5,3.9,1.4,0.1,1.0,0.3,1.3,0.5,0.1,0.9
ID_JUG_0091,Gerald Glass,51.0,11.9,6.9,2.9,0.0,1.0,1.1,0.8,0.6,0.2,0.8
ID_JUG_0092,Larry Robinson,36.0,11.8,3.9,1.7,0.0,0.4,0.8,1.0,0.4,0.0,0.8
ID_JUG_0093,Jud Buechler,74.0,11.6,3.1,1.3,0.0,0.6,0.8,0.7,0.5,0.2,0.3
ID_JUG_0094,Cedric Ceballos,63.0,11.6,8.2,3.2,0.0,1.7,1.2,0.6,0.3,0.1,1.1
ID_JUG_0095,Kyle Anderson,33.0,10.8,2.2,0.9,0.1,0.3,0.2,0.8,0.5,0.2,0.3
ID_JUG_0096,Greg Foster,54.0,11.2,4.4,1.8,0.0,0.8,1.0,0.7,0.2,0.4,0.8
ID_JUG_0097,Brian Oliver,73.0,11.0,3.8,1.5,0.1,0.7,0.2,1.2,0.5,0.1,0.7
ID_JUG_0098,Howard Wright,15.0,10.9,3.6,1.3,0.0,1.1,0.8,0.2,0.3,0.3,0.7
ID_JUG_0099,Tony Smith,64.0,10.9,3.7,1.5,0.0,0.6,0.4,2.1,0.4,0.2,1.1
ID_JUG_0100,Tate George,56.0,10.6,3.4,1.4,0.0,0.6,0.3,1.9,0.5,0.1,0.8
ID_JUG_0101,Rick Calloway,64.0,10.6,3.2,1.2,0.0,0.9,0.4,1.0,0.3,0.1,0.8
ID_JUG_0102,Steve Henson,68.0,10.1,3.1,1.2,0.3,0.6,0.2,1.9,0.5,0.0,0.6
ID_JUG_0103,Andy Toolson,47.0,10.0,2.9,1.1,0.3,0.5,0.7,0.7,0.3,0.0,0.5
ID_JUG_0104,Jayson Williams,52.0,9.8,3.5,1.4,0.0,0.7,0.8,0.3,0.2,0.1,0.8
ID_JUG_0105,Kennard Winchester,64.0,9.5,3.7,1.5,0.1,0.5,0.5,0.4,0.3,0.2,0.5
ID_JUG_0106,Johnny O'Bryant,34.0,10.8,2.9,1.3,0.0,0.4,0.8,0.5,0.1,0.1,0.7
ID_JUG_0107,Dwayne Schintzius,42.0,9.5,3.8,1.6,0.0,0.5,0.7,0.4,0.1,0.7,0.8
ID_JUG_0108,Sean Higgins,50.0,9.3,4.5,1.9,0.1,0.6,0.4,0.7,0.2,0.0,1.0
ID_JUG_0109,Elden Campbell,52.0,7.3,2.8,1.1,0.0,0.6,0.8,0.2,0.2,0.7,0.3
ID_JUG_0110,Kenny Williams,75.0,7.0,2.9,1.2,0.0,0.5,0.7,0.4,0.1,0.4,0.6
ID_JUG_0111,Keith Askins,39.0,6.8,2.2,0.9,0.2,0.3,0.8,0.5,0.4,0.3,0.3
ID_JUG_0112,Scott Williams,51.0,6.6,2.5,1.0,0.0,0.4,0.8,0.3,0.2,0.3,0.5
ID_JUG_0113,Richard Coffey,52.0,6.2,1.3,0.5,0.0,0.2,0.8,0.1,0.1,0.1,0.1
ID_JUG_0114,Steve Scheffler,39.0,5.8,1.5,0.5,0.0,0.5,0.5,0.2,0.1,0.1,0.1
ID_JUG_0115,David Robinson*,82.0,36.6,24.3,8.4,0.0,7.5,3.7,2.0,1.7,3.9,3.1
ID_JUG_0116,James Young,31.0,10.7,3.4,1.2,0.5,0.5,0.3,0.4,0.3,0.1,0.2
ID_JUG_0117,Tim Hardaway,79.0,33.7,14.7,5.9,0.3,2.7,0.7,8.7,2.1,0.1,3.3
ID_JUG_0118,J.R. Reid,82.0,33.6,11.1,4.4,0.0,2.3,2.4,1.2,1.1,0.7,2.1
ID_JUG_0119,Pooh Richardson,82.0,31.5,11.4,5.2,0.3,0.8,0.7,6.8,1.6,0.3,1.7
ID_JUG_0120,Sherman Douglas,81.0,30.5,14.3,5.7,0.1,2.8,0.9,7.6,1.8,0.1,3.0
ID_JUG_0121,Sam Mitchell,80.0,30.2,12.7,4.7,0.0,3.4,2.3,1.1,0.8,0.7,1.2
ID_JUG_0122,Glen Rice,77.0,30.0,13.6,6.1,0.2,1.2,1.3,1.8,0.9,0.3,1.5
ID_JUG_0123,Mookie Blaylock,50.0,25.3,10.1,4.2,0.4,1.3,0.8,4.2,1.6,0.3,2.2
ID_JUG_0124,Sean Elliott,81.0,25.1,10.0,3.8,0.0,2.3,1.6,1.9,0.6,0.2,1.4
ID_JUG_0125,Blue Edwards,82.0,23.0,8.9,3.5,0.1,1.8,0.8,1.8,0.9,0.4,1.9
ID_JUG_0126,Cory Jefferson,50.0,10.6,3.7,1.5,0.0,0.6,0.9,0.3,0.2,0.4,0.4
ID_JUG_0127,Nick Anderson,81.0,22.0,11.5,4.6,0.0,2.3,1.3,1.5,0.8,0.4,1.7
ID_JUG_0128,Stacey King,82.0,21.7,8.9,3.3,0.0,2.4,2.1,1.1,0.5,0.7,1.4
ID_JUG_0129,Dana Barros,81.0,20.1,9.7,3.7,1.2,1.1,0.4,2.5,0.7,0.0,1.5
ID_JUG_0130,Jeff Martin,69.0,19.6,6.3,2.5,0.0,1.3,1.1,0.6,0.6,0.2,0.7
ID_JUG_0131,Clifford Robinson,82.0,19.1,9.1,3.6,0.1,1.7,1.3,0.9,0.7,0.7,1.6
ID_JUG_0132,Winston Bennett,55.0,18.0,6.1,2.5,0.0,1.2,1.5,1.0,0.4,0.2,1.1
ID_JUG_0133,Chucky Brown,75.0,17.9,7.3,2.8,0.0,1.7,1.1,0.7,0.4,0.3,0.9
ID_JUG_0134,Michael Ansley,72.0,17.0,8.7,3.2,0.0,2.3,2.6,0.6,0.3,0.2,0.7
ID_JUG_0135,Todd Lichti,79.0,16.8,8.0,3.2,0.0,1.6,0.6,1.5,0.7,0.2,1.2
ID_JUG_0136,Noah Vonleh,25.0,10.4,3.3,1.2,0.2,0.7,1.1,0.2,0.2,0.4,0.4
ID_JUG_0137,B.J. Armstrong,81.0,15.9,5.6,2.3,0.0,0.9,0.2,2.5,0.6,0.1,1.0
ID_JUG_0138,Terry Davis,63.0,14.0,4.7,1.9,0.0,0.9,1.5,0.4,0.4,0.4,1.1
ID_JUG_0139,Shawn Kemp,81.0,13.8,6.5,2.5,0.0,1.4,1.8,0.3,0.6,0.9,1.3
ID_JUG_0140,Tom Hammonds,61.0,13.2,5.3,2.1,0.0,1.0,1.0,0.8,0.2,0.2,0.8
ID_JUG_0141,Scott Haffner,43.0,13.0,4.6,2.0,0.1,0.4,0.2,1.9,0.3,0.1,0.8
ID_JUG_0142,Randy White,55.0,12.9,4.3,1.7,0.0,0.9,1.4,0.4,0.4,0.1,0.8
ID_JUG_0143,Kenny Battle,59.0,12.4,4.1,1.6,0.0,0.9,0.7,0.6,0.6,0.2,0.5
ID_JUG_0144,Donald Royal,66.0,11.3,5.9,1.8,0.0,2.3,1.0,0.7,0.5,0.1,1.2
ID_JUG_0145,Michael Carter-Williams,70.0,34.5,16.7,6.1,0.8,3.7,1.4,6.3,1.9,0.6,3.5
ID_JUG_0146,Delaney Rudd,77.0,11.0,3.5,1.4,0.2,0.5,0.2,2.3,0.3,0.0,1.1
ID_JUG_0147,John Morton,37.0,10.9,3.9,1.3,0.2,1.2,0.2,1.8,0.5,0.1,1.4
ID_JUG_0148,Greg Grant,67.0,10.1,3.1,1.2,0.0,0.6,0.2,2.5,0.5,0.0,1.1
ID_JUG_0149,Doug Roth,42.0,9.8,1.9,0.9,0.0,0.2,1.0,0.5,0.2,0.3,0.4
ID_JUG_0150,Byron Irvin,50.0,9.8,5.2,1.9,0.1,1.2,0.6,0.9,0.6,0.0,0.8
ID_JUG_0151,Michael Smith,65.0,9.5,5.0,2.1,0.0,0.8,0.6,1.2,0.1,0.0,0.8
ID_JUG_0152,Michael Smith,82.0,21.2,6.9,2.7,0.0,1.5,2.1,0.8,0.7,0.6,1.3
ID_JUG_0153,George McCloud,44.0,9.4,2.7,1.0,0.3,0.3,0.3,1.0,0.4,0.1,0.8
ID_JUG_0154,Henry Turner,36.0,8.8,4.3,1.6,0.0,1.1,0.6,0.6,0.5,0.2,0.7
ID_JUG_0155,Charles Smith,60.0,8.7,2.9,1.0,0.0,0.9,0.2,1.7,0.6,0.1,0.6
ID_JUG_0156,Charles Smith,71.0,30.4,16.3,6.1,0.0,4.0,2.4,1.5,1.0,1.3,2.1
ID_JUG_0157,Charles Smith,34.0,8.6,3.5,1.4,0.4,0.2,0.4,0.6,0.3,0.2,0.8
ID_JUG_0158,Ed Horton,45.0,8.3,4.5,1.8,0.0,0.9,1.3,0.4,0.2,0.1,0.9
ID_JUG_0159,Trey Burke,70.0,32.3,12.8,4.9,1.6,1.5,0.5,5.7,0.6,0.1,1.9
ID_JUG_0160,Frank Kornet,57.0,7.7,2.0,0.7,0.1,0.4,0.4,0.4,0.3,0.1,0.4
ID_JUG_0161,Doug West,52.0,7.3,2.6,1.0,0.1,0.5,0.5,0.3,0.2,0.1,0.6
ID_JUG_0162,Adrian Caldwell,51.0,6.5,1.9,0.8,0.0,0.3,0.7,0.1,0.2,0.3,0.6
ID_JUG_0163,Kenny Payne,35.0,6.2,3.3,1.3,0.1,0.5,0.3,0.3,0.2,0.2,0.6
ID_JUG_0164,Eric Johnson,48.0,5.7,1.1,0.4,0.0,0.3,0.2,1.3,0.3,0.0,0.5
ID_JUG_0165,Mike Williams,21.0,4.9,0.7,0.3,0.0,0.1,0.2,0.1,0.1,0.3,0.1
ID_JUG_0166,Mike Morrison,36.0,4.3,2.0,0.6,0.1,0.7,0.2,0.3,0.1,0.0,0.6
ID_JUG_0167,Nate Johnston,21.0,4.1,2.2,0.9,0.0,0.4,0.6,0.0,0.1,0.4,0.3
ID_JUG_0168,Mitch Richmond*,79.0,34.4,22.0,8.2,0.4,5.2,2.0,4.2,1.0,0.2,3.4
ID_JUG_0169,Willie Anderson,81.0,33.8,18.6,7.9,0.0,2.8,1.9,4.6,1.9,0.8,3.2
ID_JUG_0170,Victor Oladipo,80.0,31.1,13.8,4.9,0.9,3.1,0.5,4.1,1.6,0.5,3.2
ID_JUG_0171,Hersey Hawkins,79.0,32.6,15.1,5.6,0.9,3.1,0.6,3.0,1.5,0.5,2.0
ID_JUG_0172,Kevin Edwards,79.0,29.7,13.8,5.9,0.1,1.8,1.1,4.4,1.8,0.3,3.1
ID_JUG_0173,Grant Long,82.0,29.7,11.9,4.1,0.0,3.7,2.9,1.8,1.5,0.6,2.5
ID_JUG_0174,Rex Chapman,75.0,29.6,16.9,7.0,0.8,2.1,1.0,2.3,0.9,0.3,1.5
ID_JUG_0175,Brian Shaw,82.0,28.1,8.6,3.6,0.0,1.3,1.5,5.8,0.9,0.3,2.3
ID_JUG_0176,Chris Morris,76.0,27.6,14.1,5.4,0.8,2.4,2.5,1.6,1.3,0.8,2.5
ID_JUG_0177,Gary Grant,71.0,27.1,11.9,5.1,0.1,1.7,1.1,7.1,2.0,0.1,3.6
ID_JUG_0178,Vernon Maxwell,79.0,26.1,11.7,4.5,0.4,2.3,0.6,3.8,1.1,0.1,2.3
ID_JUG_0179,Ben McLemore,82.0,26.7,8.8,3.1,1.2,1.4,0.6,1.0,0.6,0.2,1.2
ID_JUG_0180,Dan Majerle,54.0,25.1,8.6,3.4,0.5,1.4,1.1,2.4,1.2,0.3,0.9
ID_JUG_0181,Sylvester Gray,55.0,22.2,8.0,3.0,0.0,1.9,2.1,2.1,0.7,0.5,1.9
ID_JUG_0182,Ricky Berry,64.0,22.0,11.0,4.0,1.0,2.0,0.9,1.3,0.6,0.3,1.3
ID_JUG_0183,Tom Garrick,71.0,21.1,6.4,2.5,0.0,1.4,0.5,3.4,1.1,0.1,1.6
ID_JUG_0184,Michael Anderson,36.0,20.3,5.7,2.0,0.0,1.6,1.2,4.3,1.2,0.1,2.3
ID_JUG_0185,Michael Anderson,65.0,18.5,7.4,2.9,0.0,1.5,1.8,1.0,1.0,0.3,1.2
ID_JUG_0186,Vinny Del Negro,80.0,19.5,7.1,3.0,0.1,1.1,0.6,2.6,0.8,0.2,1.0
ID_JUG_0187,Kelvin Upshaw,32.0,19.3,6.8,3.1,0.1,0.6,0.3,3.7,0.8,0.1,1.7
ID_JUG_0188,Derrick Chievous,81.0,19.0,9.3,3.4,0.1,2.4,1.4,1.0,0.6,0.1,1.7
ID_JUG_0189,Ledell Eackles,80.0,18.2,11.5,4.0,0.1,3.4,1.3,1.5,0.5,0.1,1.6
ID_JUG_0190,Harvey Grant,71.0,16.8,5.6,2.5,0.0,0.5,1.1,1.1,0.5,0.4,0.4
ID_JUG_0191,Rod Strickland,81.0,16.8,8.9,3.3,0.2,2.1,0.6,3.9,1.2,0.0,1.8
ID_JUG_0192,Scott Brooks,82.0,16.7,5.2,1.9,0.7,0.7,0.2,3.7,0.8,0.0,0.8
ID_JUG_0193,Todd Mitchell,24.0,14.7,5.1,1.8,0.0,1.5,0.8,0.9,0.7,0.1,1.4
ID_JUG_0194,John Shasky,65.0,14.5,5.5,1.9,0.0,1.8,1.5,0.3,0.2,0.2,0.7
ID_JUG_0195,Mark Bryant,56.0,14.3,5.0,2.1,0.0,0.7,1.2,0.6,0.4,0.1,0.7
ID_JUG_0196,Mark Bryant,36.0,7.0,1.6,0.7,0.0,0.3,0.7,0.2,0.1,0.1,0.3
ID_JUG_0197,Shelton Jones,51.0,13.4,4.8,1.8,0.0,1.1,0.6,0.8,0.4,0.3,0.9
ID_JUG_0198,Eric Leckner,75.0,10.4,4.3,1.6,0.0,1.1,0.6,0.2,0.1,0.3,0.9
ID_JUG_0199,Jerome Lane,54.0,10.2,4.8,2.0,0.0,0.8,1.6,1.1,0.4,0.1,0.9
ID_JUG_0200,Tim Perry,62.0,9.9,4.1,1.7,0.0,0.6,1.0,0.3,0.3,0.5,0.6
ID_JUG_0201,Jim Les,82.0,9.5,1.7,0.5,0.0,0.7,0.3,2.6,0.3,0.1,1.1
ID_JUG_0202,Craig Neal,53.0,9.4,2.2,0.8,0.2,0.3,0.1,2.2,0.5,0.1,1.0
ID_JUG_0203,David Rivers,47.0,9.4,2.9,1.0,0.0,0.7,0.3,2.3,0.5,0.2,1.3
ID_JUG_0204,John Starks,36.0,8.8,4.1,1.4,0.3,0.9,0.4,0.8,0.6,0.1,1.1
ID_JUG_0205,Andrew Lang,62.0,8.5,2.6,1.0,0.0,0.6,0.9,0.1,0.3,0.8,0.5
ID_JUG_0206,Bill Jones,37.0,8.3,3.5,1.4,0.0,0.8,0.5,0.5,0.5,0.2,0.5
ID_JUG_0207,Charles Shackleford,60.0,8.1,3.1,1.4,0.0,0.4,0.8,0.4,0.3,0.3,0.5
ID_JUG_0208,Morlon Wiley,51.0,8.0,2.2,0.9,0.1,0.3,0.3,1.5,0.5,0.1,0.7
ID_JUG_0209,Randolph Keys,42.0,7.9,4.0,1.8,0.0,0.5,0.5,0.5,0.3,0.1,0.5
ID_JUG_0210,Mark Davis,33.0,7.8,3.8,1.5,0.0,0.8,0.5,0.4,0.4,0.1,0.4
ID_JUG_0211,Mark Davis,57.0,10.0,3.3,1.0,0.1,1.3,1.0,0.8,0.7,0.4,1.2
ID_JUG_0212,Troy Williams,24.0,17.4,5.3,2.1,0.4,0.6,0.3,0.8,1.0,0.4,1.1
ID_JUG_0213,Hollis Thompson,77.0,22.6,6.0,2.2,0.9,0.7,0.9,0.9,0.7,0.2,0.8
ID_JUG_0214,Ron Grandison,72.0,7.3,2.5,0.8,0.0,0.8,0.7,0.6,0.3,0.0,0.5
ID_JUG_0215,Micheal Williams,49.0,7.3,2.6,1.0,0.0,0.6,0.2,1.4,0.3,0.1,0.9
ID_JUG_0216,Anthony Frederick,46.0,6.8,3.3,1.4,0.0,0.5,0.6,0.4,0.3,0.1,0.7
ID_JUG_0217,Avery Johnson,43.0,6.8,1.6,0.7,0.0,0.2,0.3,1.7,0.5,0.1,0.4
ID_JUG_0218,Everette Stephens,35.0,6.0,1.9,0.7,0.1,0.5,0.3,1.1,0.3,0.1,0.8
